epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7096,1.1996,3.96619,1.44518,0.75,0.02362,0.01521,0.01181,1.31729,4.41871,1.74263,0.000536506,0.000536506,0.000536506
2,19.7148,1.40366,2.50634,1.67924,0.243,0.48726,0.27694,0.14622,1.53684,3.85847,2.01923,0.00105613,0.00105613,0.00105613
3,22.8234,1.39166,1.86273,1.5907,0.53541,0.27109,0.26573,0.13986,1.49594,3.29298,2.10831,0.00153908,0.00153908,0.00153908
4,25.8473,1.37475,1.73887,1.61975,0.35281,0.31739,0.24407,0.11689,1.71457,2.96336,2.25182,0.00150197,0.00150197,0.00150197
5,28.9061,1.31542,1.61294,1.55667,0.47524,0.38938,0.36851,0.21864,1.43363,2.26543,1.93694,0.00144696,0.00144696,0.00144696
6,31.9953,1.2683,1.49176,1.50008,0.41387,0.54396,0.36389,0.21641,1.44389,3.18122,1.87245,0.00139195,0.00139195,0.00139195
7,34.9679,1.25649,1.47501,1.50719,0.58087,0.37992,0.44741,0.26088,1.5605,2.00922,2.06893,0.00133693,0.00133693,0.00133693
8,38.0215,1.17313,1.37063,1.40462,0.50922,0.35754,0.34244,0.17869,1.59702,2.54179,1.92623,0.00128192,0.00128192,0.00128192
9,41.164,1.16641,1.39218,1.41501,0.62203,0.55518,0.61386,0.38806,1.31167,1.49816,1.71046,0.00122691,0.00122691,0.00122691
10,44.1964,1.10785,1.29105,1.36944,0.72654,0.53197,0.59387,0.3738,1.28018,1.75191,1.63656,0.0011719,0.0011719,0.0011719
11,47.2347,1.11529,1.29119,1.39638,0.53329,0.4569,0.46641,0.2964,1.34609,1.9991,1.80376,0.00111689,0.00111689,0.00111689
12,50.3257,1.10276,1.25815,1.40935,0.72033,0.60484,0.69514,0.44544,1.37107,1.3747,1.68894,0.00106188,0.00106188,0.00106188
13,53.423,1.0485,1.14843,1.31532,0.69422,0.66059,0.70131,0.44969,1.23896,1.29008,1.58588,0.00100687,0.00100687,0.00100687
14,56.5286,1.03265,1.1381,1.33164,0.72541,0.69137,0.70185,0.45925,1.21328,1.2929,1.57943,0.000951857,0.000951857,0.000951857
15,59.5761,1.00125,1.07962,1.29924,0.77703,0.56975,0.6377,0.43508,1.13505,1.40048,1.49656,0.000896846,0.000896846,0.000896846
16,62.5378,1.04868,1.09124,1.33571,0.7285,0.63495,0.71091,0.47805,1.14802,1.39222,1.4636,0.000841835,0.000841835,0.000841835
17,65.6414,0.93649,0.98418,1.26238,0.74389,0.73496,0.78391,0.51601,1.15176,1.11296,1.49238,0.000786824,0.000786824,0.000786824
18,68.7046,0.97587,1.00771,1.26579,0.80692,0.61926,0.72174,0.48552,1.12282,1.35966,1.45461,0.000731813,0.000731813,0.000731813
19,71.6876,0.94302,0.9648,1.24716,0.69956,0.60914,0.67856,0.46842,1.14659,1.47564,1.4731,0.000676802,0.000676802,0.000676802
20,74.6817,0.92471,0.90153,1.22187,0.75144,0.73355,0.77704,0.52099,1.10321,1.10753,1.45745,0.000621791,0.000621791,0.000621791
21,81.8346,0.88541,0.95946,1.23918,0.79645,0.61769,0.69477,0.4898,1.10769,1.35506,1.47264,0.00056678,0.00056678,0.00056678
22,84.7483,0.81307,0.80127,1.18844,0.80713,0.58207,0.69823,0.47664,1.0628,1.36564,1.47291,0.000511769,0.000511769,0.000511769
23,87.6748,0.79771,0.7604,1.19141,0.77639,0.67705,0.74614,0.52442,1.07561,1.22825,1.4771,0.000456758,0.000456758,0.000456758
24,90.5699,0.77107,0.70183,1.18461,0.81044,0.68879,0.7916,0.53209,1.10423,1.2186,1.469,0.000401747,0.000401747,0.000401747
25,93.655,0.75346,0.65939,1.15366,0.82618,0.69281,0.7807,0.52854,1.10999,1.20608,1.46863,0.000346736,0.000346736,0.000346736
26,96.6491,0.76612,0.65522,1.16264,0.70866,0.71105,0.76081,0.52243,1.05323,1.19953,1.43695,0.000291725,0.000291725,0.000291725
27,99.5421,0.71115,0.61549,1.10478,0.84343,0.62216,0.74956,0.52715,1.02825,1.19955,1.42132,0.000236714,0.000236714,0.000236714
28,102.451,0.71652,0.58562,1.11038,0.82419,0.66353,0.76253,0.54333,1.00074,1.15629,1.39804,0.000181703,0.000181703,0.000181703
29,105.369,0.66802,0.56945,1.07499,0.8277,0.62323,0.75342,0.53718,1.00965,1.14601,1.40363,0.000126692,0.000126692,0.000126692
30,108.305,0.66891,0.56357,1.08499,0.84559,0.66523,0.77381,0.54804,1.01156,1.10317,1.4044,7.1681e-05,7.1681e-05,7.1681e-05
