epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,78.1202,1.03138,1.09641,1.30946,0.81711,0.56009,0.68925,0.44735,1.19317,1.30878,1.57273,0.00144696,0.00144696,0.00144696
22,81.0181,1.02052,1.0841,1.30329,0.66212,0.59818,0.60608,0.37181,1.2729,1.49417,1.6554,0.00143595,0.00143595,0.00143595
23,84.2754,1.03313,1.10592,1.32354,0.6292,0.68566,0.66303,0.4193,1.27817,1.38197,1.6729,0.00142495,0.00142495,0.00142495
24,87.7189,0.99724,1.06402,1.30553,0.69841,0.68521,0.72084,0.47978,1.19613,1.269,1.55088,0.00141395,0.00141395,0.00141395
25,90.6619,0.99085,1.03881,1.30527,0.78368,0.67376,0.74202,0.47957,1.2988,1.27766,1.65697,0.00140295,0.00140295,0.00140295
26,93.4846,1.00015,1.02309,1.29515,0.80558,0.59669,0.75287,0.4879,1.24738,1.22907,1.59911,0.00139195,0.00139195,0.00139195
27,96.5384,1.01544,1.07729,1.31597,0.81251,0.66822,0.72568,0.4708,1.32677,1.24303,1.66326,0.00138094,0.00138094,0.00138094
28,99.3973,0.99853,1.00799,1.30777,0.73674,0.66172,0.71293,0.43382,1.35737,1.17206,1.68392,0.00136994,0.00136994,0.00136994
29,102.287,1.01992,1.04683,1.32525,0.7284,0.59249,0.6551,0.41968,1.26962,1.39384,1.6056,0.00135894,0.00135894,0.00135894
30,105.092,0.98602,1.02051,1.28587,0.72872,0.62348,0.63576,0.4232,1.15451,1.79731,1.49781,0.00134794,0.00134794,0.00134794
31,108.03,0.98991,1.00215,1.2779,0.7491,0.63259,0.66709,0.41726,1.29436,1.31436,1.59731,0.00133693,0.00133693,0.00133693
32,111.093,0.95893,0.98415,1.25505,0.73477,0.69408,0.69407,0.45146,1.17904,1.27756,1.56427,0.00132593,0.00132593,0.00132593
33,114.067,0.98081,0.97744,1.27416,0.70705,0.59656,0.66528,0.44622,1.19094,1.42842,1.55077,0.00131493,0.00131493,0.00131493
34,117.053,0.92268,0.91189,1.23739,0.80491,0.66085,0.73829,0.49417,1.16878,1.19931,1.48324,0.00130393,0.00130393,0.00130393
35,120.066,0.92598,0.93009,1.25307,0.62917,0.6021,0.624,0.39407,1.19338,1.57639,1.53339,0.00129293,0.00129293,0.00129293
36,123.598,0.93674,0.92003,1.22904,0.70731,0.63582,0.64232,0.42683,1.22522,1.50221,1.54826,0.00128192,0.00128192,0.00128192
37,126.791,0.90627,0.90012,1.2324,0.74564,0.65547,0.73061,0.47435,1.26308,1.17626,1.54196,0.00127092,0.00127092,0.00127092
38,129.738,0.90568,0.86477,1.21288,0.72547,0.70158,0.71846,0.46049,1.22242,1.24123,1.59317,0.00125992,0.00125992,0.00125992
39,132.866,0.93521,0.91152,1.23915,0.73137,0.55828,0.64777,0.41792,1.24983,1.53625,1.59581,0.00124892,0.00124892,0.00124892
40,136.033,0.88937,0.87903,1.20223,0.77671,0.6273,0.70827,0.46403,1.19781,1.41503,1.59343,0.00123791,0.00123791,0.00123791
41,139.113,0.93998,0.91014,1.26482,0.81387,0.62903,0.73031,0.47776,1.17014,1.22275,1.53122,0.00122691,0.00122691,0.00122691
42,142.11,0.9049,0.85334,1.23055,0.79203,0.6525,0.7236,0.49384,1.09694,1.31685,1.46054,0.00121591,0.00121591,0.00121591
43,145.078,0.88392,0.83638,1.19122,0.84093,0.6621,0.77053,0.53509,1.00432,1.06723,1.34388,0.00120491,0.00120491,0.00120491
44,147.978,0.85518,0.84097,1.17123,0.69641,0.61746,0.64838,0.44084,1.21397,1.59311,1.58167,0.00119391,0.00119391,0.00119391
45,150.805,0.85795,0.82476,1.18664,0.70796,0.64997,0.70115,0.46106,1.22638,1.25177,1.58173,0.0011829,0.0011829,0.0011829
46,153.671,0.87613,0.83829,1.21186,0.74012,0.70642,0.73571,0.46627,1.1265,1.24971,1.47713,0.0011719,0.0011719,0.0011719
47,156.629,0.87239,0.79708,1.19901,0.76512,0.70881,0.75189,0.49041,1.09945,1.10236,1.45496,0.0011609,0.0011609,0.0011609
48,159.928,0.85243,0.79591,1.19137,0.78081,0.70781,0.77436,0.50826,1.11173,1.16629,1.47676,0.0011499,0.0011499,0.0011499
49,163.047,0.89681,0.81212,1.20298,0.78201,0.71867,0.75198,0.49773,1.15346,1.30018,1.52614,0.00113889,0.00113889,0.00113889
50,166.043,0.91089,0.83433,1.22631,0.81204,0.59295,0.73367,0.48926,1.17051,1.26256,1.52451,0.00112789,0.00112789,0.00112789
51,168.853,0.84828,0.78557,1.18092,0.71087,0.68551,0.68474,0.47231,1.14966,1.24496,1.50446,0.00111689,0.00111689,0.00111689
52,171.801,0.8485,0.80276,1.18814,0.81323,0.74783,0.79303,0.53486,1.04007,1.0223,1.36723,0.00110589,0.00110589,0.00110589
53,174.717,0.80198,0.73808,1.14684,0.8011,0.6665,0.73639,0.4966,1.14826,1.20943,1.49596,0.00109489,0.00109489,0.00109489
54,177.535,0.80377,0.73332,1.1531,0.77476,0.7139,0.76237,0.49203,1.13897,1.0887,1.53705,0.00108388,0.00108388,0.00108388
55,180.327,0.82088,0.76551,1.16852,0.81751,0.67043,0.74723,0.50996,1.12091,1.22559,1.49871,0.00107288,0.00107288,0.00107288
56,183.167,0.78471,0.7206,1.14185,0.8262,0.65889,0.76122,0.51724,1.14429,1.07331,1.52152,0.00106188,0.00106188,0.00106188
57,186.013,0.82993,0.74912,1.16652,0.7561,0.62011,0.69932,0.43242,1.20013,1.48678,1.62306,0.00105088,0.00105088,0.00105088
58,188.833,0.82875,0.72907,1.18052,0.79273,0.67425,0.74918,0.47695,1.12576,1.0842,1.5231,0.00103987,0.00103987,0.00103987
