epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8286,1.25376,3.96106,1.47373,0.67857,0.03281,0.0172,0.01077,1.25551,4.3365,1.57798,0.000536506,0.000536506,0.000536506
2,22.8148,1.44107,2.4843,1.66038,0.21984,0.56107,0.2653,0.13864,1.48505,3.74156,1.91922,0.00108496,0.00108496,0.00108496
3,25.6016,1.34479,1.81357,1.6157,0.69539,0.22623,0.36967,0.21679,1.50385,2.89806,1.96674,0.00162609,0.00162609,0.00162609
4,28.3529,1.41507,1.7864,1.66758,0.46181,0.48319,0.30849,0.17179,1.64717,3.24381,2.23177,0.00163399,0.00163399,0.00163399
5,31.1791,1.31289,1.62961,1.56707,0.45502,0.48267,0.41048,0.23904,1.485,2.23965,1.93551,0.00162299,0.00162299,0.00162299
6,34.1988,1.31721,1.59258,1.56542,0.57121,0.42155,0.44397,0.2607,1.57108,2.59779,2.11644,0.00161199,0.00161199,0.00161199
7,37.173,1.28457,1.50995,1.5385,0.42953,0.40241,0.35553,0.18706,1.70489,2.21293,2.01249,0.00160099,0.00160099,0.00160099
8,40.1119,1.23662,1.5174,1.49178,0.80472,0.21491,0.30536,0.15025,1.80756,2.8769,2.08016,0.00158998,0.00158998,0.00158998
9,43.1278,1.22704,1.45799,1.4684,0.62397,0.49706,0.50578,0.31498,1.39317,1.79405,1.76386,0.00157898,0.00157898,0.00157898
10,46.0182,1.20579,1.41874,1.45742,0.44997,0.48305,0.44966,0.27863,1.41335,1.98193,1.81347,0.00156798,0.00156798,0.00156798
11,48.8459,1.13519,1.31702,1.42701,0.62622,0.54972,0.58176,0.34918,1.34272,1.6135,1.72956,0.00155698,0.00155698,0.00155698
12,51.7113,1.20208,1.33291,1.44166,0.60682,0.64482,0.58637,0.36146,1.3215,1.58905,1.66783,0.00154598,0.00154598,0.00154598
13,54.6832,1.14212,1.29985,1.40365,0.63235,0.58645,0.62227,0.3942,1.28826,1.62336,1.59896,0.00153497,0.00153497,0.00153497
14,57.8124,1.15334,1.29013,1.41093,0.54404,0.49884,0.49403,0.30904,1.39593,1.79314,1.69412,0.00152397,0.00152397,0.00152397
15,60.6069,1.1598,1.26432,1.39524,0.65598,0.59421,0.61482,0.3859,1.30442,1.4994,1.64227,0.00151297,0.00151297,0.00151297
16,63.5061,1.15438,1.30427,1.43505,0.60636,0.48755,0.49161,0.32856,1.24078,1.92761,1.57427,0.00150197,0.00150197,0.00150197
17,66.3044,1.14463,1.26901,1.40696,0.66451,0.60084,0.6606,0.43171,1.30779,1.35218,1.7159,0.00149096,0.00149096,0.00149096
18,69.1188,1.02705,1.14406,1.31638,0.76891,0.56208,0.68363,0.43453,1.29581,1.43082,1.65733,0.00147996,0.00147996,0.00147996
19,72.1332,1.07438,1.15699,1.35554,0.68025,0.58339,0.67881,0.44203,1.30845,1.46738,1.64766,0.00146896,0.00146896,0.00146896
20,75.0328,1.06431,1.18628,1.37458,0.71055,0.65039,0.7025,0.46504,1.2835,1.30771,1.6022,0.00145796,0.00145796,0.00145796
